1	being a daily smoker for at least one year , [E11] Observation smoking [E12] an [E21] Eq-Comparison average ≥ 5 cigarettes per day [E22]	18	Argument:Eq-Comparison(E1,E2)
2	  Hearing impairment that would impede ability to listen the [E11] Modifier auditory [E12] [E21] Study intervention [E22]	39	Argument:Modifies(E1,E2)
3	[E11] Eq-Comparison ≥ 18 years [E12] [E21] Age old [E22] .	23	Argument:Eq-Comparison(E2,E1)
4	[ Note : Subject 's [E11] Condition CDI [E12] [E21] Condition diarrhea [E22] must be controlled (   < 3 unformed /	83	Relation:Caused-By(E2,E1)
5	Has continued CDI diarrhea despite being on a course of [E11] Drug antibiotics [E12] prescribed for [E21] Condition CDI [E22] treatment .	76	Relation:Treatment-For(E1,E2)
6	An absolute neutrophil count of < 1000 cells / µL [E11] Temporal-Connection during [E12] [E21] Study Screening [E22] .	89	Argument:Arg2(E1,E2)
7	[E11] Modifier singleton [E12] [E21] Condition pregnancy [E22]	39	Argument:Modifies(E1,E2)
8	4 . Received deep - peeling , skin regeneration , [E11] Procedure plastic surgery [E12] ( including [E21] Procedure botulinum toxin injection [E22] ) , wrinkle improvement or acne scar treatment in	16	Relation:Example-Of(E2,E1)
9	[E11] Assertion Apparently [E12] [E21] Condition healthy [E22] men	84	Argument:Asserted(E1,E2)
10	-   [E11] Observation Body mass index [E12] [E21] Eq-Comparison between 18 and 30 kg / m2 [E22]	18	Argument:Eq-Comparison(E1,E2)
11	renal insufficiency with a GFR < 20 ml / min [E11] Assertion eligible [E12] for [E21] Procedure transplant [E22]	84	Argument:Asserted(E1,E2)
12	-   Patient [E11] Assertion wishing to [E12] start the registration process at the [E21] Procedure transplant [E22]	84	Argument:Asserted(E1,E2)
13	-   [E11] Eq-Comparison Recent [E12] diagnosis of [E21] Condition neurocognitive disorder [E22]	66	Argument:Temporality(E2,E1)
14	-   intact left - hemisphere " hand knob " [E11] Negation without [E12] right [E21] Condition prefrontal lesions [E22] for placement of tDCS electrodes , as confirmed by	15	Argument:Negates(E1,E2)
15	- hemisphere " hand knob " without right prefrontal lesions [E11] Assertion for [E12] [E21] Procedure placement of tDCS electrodes [E22] , as confirmed by magnetic resonance imaging or computer	84	Argument:Asserted(E1,E2)
16	  intact left - hemisphere " hand knob " without [E11] Modifier right [E12] [E21] Condition-Name prefrontal lesions [E22] for placement of tDCS electrodes , as confirmed by	39	Argument:Modifies(E1,E2)
17	  contraindications for tDCS ( e.g. , cardiac pacemaker , [E11] Eq-Comparison history [E12] of [E21] Condition seizures [E22] , implanted metal inside the head ) ;	66	Argument:Temporality(E2,E1)
18	-   more than one clinically apparent stroke with [E11] Condition aphasic [E12] [E21] Assertion symptoms [E22] ;	64	Argument:Asserted(E2,E1)
19	[E11] Eq-Comparison over 18 years [E12] [E21] Age old [E22]	23	Argument:Eq-Comparison(E2,E1)
20	-   [E11] Eq-Comparison at least 20 [E12] [E21] Condition teeth under occlusion [E22]	10	Argument:Minimum-Count(E2,E1)
21	-   the presence of [E11] Eq-Comparison at least three [E12] non - carious [E21] Condition cervical lesions [E22]	10	Argument:Minimum-Count(E2,E1)
22	to ambulate , in routine clinical care , patients with [E11] Observation mRS [E12] [E21] Eq-Comparison up to 3 [E22] are usually deemed suitable for tissue plasminogen activator treatment	18	Argument:Eq-Comparison(E1,E2)
23	1 . Remission of [E11] Condition disabling [E12] [E21] Assertion symptoms [E22] until arrival of emergency medical service	64	Argument:Asserted(E2,E1)
24	3 . Major surgery within 4 weeks [E11] Temporal-Connection before [E12] [E21] Study study [E22] inclusion	89	Argument:Arg2(E1,E2)
